Model,Mean Average Precision (mAP),mAP - SEM,mAP + SEM,ROC-AUC (macro mean),Mean ROC-AUC - SEM,Mean ROC-AUC + SEM,MCC-F1 summary (macro mean),Mean MCC-F1 summary - SEM,Mean MCC-F1 summary + SEM
PlmRandomForest__tps_esm-1v_with_minor_reactions_global_tuning,0.8981128094825869,0.8742636989208356,0.9219619200443382,0.9934740396890874,0.990236881097207,0.9967111982809679,0.5467347085406904,0.5279987410632119,0.5654706760181689
PlmRandomForest__esm-1v_with_minor_reactions_global_tuning,0.8609480869253082,0.827399516229431,0.8944966576211855,0.9925657850500407,0.9895070403090058,0.9956245297910755,0.5396643650413266,0.5234677603481909,0.5558609697344624
PlmRandomForest__ankh_large_with_minor_reactions_global_tuning,0.8909596901606238,0.8634996348130212,0.9184197455082265,0.9940181775645315,0.9912227019802262,0.9968136531488367,0.5781887551932662,0.561111844864976,0.5952656655215564
PlmRandomForest__ankh_base_with_minor_reactions_global_tuning,0.8832440811868391,0.8468693397787334,0.9196188225949448,0.9938876191962346,0.9906473595938389,0.9971278787986303,0.5786432895682517,0.5592934753228346,0.5979931038136689
PlmRandomForest__tps_ankh_base_with_minor_reactions,0.8812116001363262,0.8520549041945688,0.9103682960780836,0.9929615278805385,0.9890996761336409,0.9968233796274361,0.5840416679445096,0.5656890375664402,0.6023942983225791
PlmRandomForest__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.8816912051569203,0.8509395619278842,0.9124428483859565,0.9931613050727812,0.9902934992266218,0.9960291109189406,0.5480864404480983,0.5277915267877696,0.5683813541084269
PlmRandomForest__tps_ankh_base_with_minor_reactions_global_tuning,0.8813713669150064,0.8483949464246243,0.9143477874053885,0.9936314481885241,0.9902053030693541,0.9970575933076942,0.5683013995345377,0.5490405147826892,0.5875622842863862
PlmRandomForest__esm-1v_with_minor_reactions,0.8875584684294169,0.8577318534377221,0.9173850834211117,0.9937329240430679,0.9899865899280569,0.9974792581580789,0.5812105694668577,0.5610864517321288,0.6013346872015866
PlmRandomForest__tps_esm-1v-subseq_with_minor_reactions,0.8806648214102569,0.8535537955746015,0.9077758472459123,0.9927226004170051,0.989117348010963,0.9963278528230473,0.5922888704985918,0.5756687661721106,0.608908974825073
PlmRandomForest__ankh_base_with_minor_reactions,0.8817245856165598,0.8524819203205429,0.9109672509125766,0.9931285742867266,0.9893101299477183,0.996947018625735,0.5842099469334697,0.5669540609930992,0.6014658328738403
PlmRandomForest__esm-2_with_minor_reactions,0.8601931184689103,0.8226691779866503,0.8977170589511704,0.991343353628779,0.9873091444126109,0.9953775628449472,0.5824720605378619,0.56285115648639,0.6020929645893339
PlmRandomForest__tps_esm-1v_with_minor_reactions,0.8916190440004226,0.8648943409430125,0.9183437470578326,0.9931951831996616,0.989302128235737,0.9970882381635862,0.5964537561486158,0.5802620002069767,0.612645512090255
PlmRandomForest__ankh_large_with_minor_reactions,0.8746509480454947,0.8425973883362076,0.9067045077547818,0.9918485958845938,0.9877589412833923,0.9959382504857954,0.5762255039580697,0.5568319953187444,0.595619012597395
PlmDomainsLogisticRegression__esm-2_with_minor_reactions_global_tuning,0.8051561488555002,0.773514499783318,0.8367977979276825,0.9777123038191143,0.9695540272582577,0.985870580379971,0.47849177489814826,0.4652164747703442,0.4917670750259523
PlmDomainsLogisticRegression__tps_ankh_base_with_minor_reactions,0.8061593612007099,0.7861381670648038,0.8261805553366159,0.9705424406764379,0.9608356615246169,0.980249219828259,0.47007242859210924,0.4592292057593523,0.4809156514248662
PlmDomainsLogisticRegression__tps_esm-1v_with_minor_reactions_global_tuning,0.8494753784326428,0.8174316275238251,0.8815191293414604,0.9901576420075905,0.985894219483671,0.99442106453151,0.48700486253647046,0.4744822998264818,0.4995274252464591
PlmDomainsLogisticRegression__tps_esm-1v-subseq_with_minor_reactions_global_tuning,0.8644188863722078,0.8327048999292621,0.8961328728151534,0.9913050735869313,0.9871798539456605,0.9954302932282021,0.4882481098826083,0.475775492104589,0.5007207276606276
PlmDomainsLogisticRegression__esm-1v_with_minor_reactions_global_tuning,0.8532970479786267,0.822551288478534,0.8840428074787194,0.9851997183334451,0.9743162440269911,0.9960831926398991,0.48702116794607997,0.4741831314365033,0.4998592044556566
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions_global_tuning,0.7828044359997341,0.75177146700486,0.8138374049946083,0.9572216444159668,0.9469065636639067,0.9675367251680269,0.4703608277403449,0.4575207690024525,0.4832008864782373
PlmDomainsLogisticRegression__tps_ankh_base_with_minor_reactions_global_tuning,0.7969970023485391,0.7663537873569967,0.8276402173400815,0.9726123249201976,0.9619001710210999,0.9833244788192952,0.47564915595150375,0.4630484370248658,0.4882498748781417
PlmDomainsLogisticRegression__esm-1v_with_minor_reactions,0.8522551113035366,0.8207247649673906,0.8837854576396826,0.9851037619576274,0.9744555414299093,0.9957519824853455,0.4865075655293827,0.4735201483883909,0.49949498267037445
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions_global_tuning,0.7979819385357135,0.7674301608531873,0.8285337162182398,0.9731089164643154,0.9628103454301327,0.9834074874984982,0.47587778693861044,0.4634150539014946,0.48834051997572625
PlmDomainsLogisticRegression__ankh_base_with_minor_reactions,0.7938123270478791,0.7628868000543422,0.824737854041416,0.9716144675634303,0.9608126307128928,0.9824163044139678,0.47427509899131465,0.46159722995705665,0.48695296802557264
PlmDomainsLogisticRegression__esm-2_with_minor_reactions,0.7999239983296068,0.7678585193074497,0.8319894773517639,0.9711357380715928,0.9624405945255624,0.9798308816176232,0.4773808688465628,0.4642141207150613,0.49054761697806426
PlmDomainsLogisticRegression__ankh_large_with_minor_reactions,0.7852934715225324,0.7555359199921179,0.8150510230529469,0.9563295020956256,0.9454063420033029,0.9672526621879484,0.47222623973046557,0.4588294812003274,0.48562299826060373
